Time;Q_level_1;.Q_level_2;Q_level_3;Voltage_diff_1;Voltage_diff_2;Voltage_diff_3; Meter1.VLn_RMS; Meter2.VLn_RMS; Meter3.VLn_RMS
0.1185;123882.4;81838.05;-146075.78;0;0;0;467.6881;489.46887;489.57675
0.119;123920.69;81698.766;-145958.86;0;0;0;467.6881;489.46887;489.57675
0.1195;124002.15;81410.734;-145868.3;0;0;0;467.6881;489.46887;489.57675
0.12;124051.05;81190.195;-145861.38;0;0;0;467.6881;489.46887;489.57675
0.1205;124082.44;80861.95;-145914.02;0;0;0;467.6881;489.46887;489.57675
0.121;124058.59;80670.35;-145974.66;0;0;0;467.6881;489.46887;489.57675
0.1215;123943.45;80456.805;-146071.84;0;0;0;467.6881;489.46887;489.57675
0.122;123816.95;80374.79;-146122.7;0;0;0;467.6881;489.46887;489.57675
0.1225;123573.234;80346.96;-146155.62;0;0;0;467.6881;489.46887;489.57675
0.123;123394.664;80385.52;-146141.19;0;0;0;467.6881;489.46887;489.57675
0.1235;123140.63;80504.98;-146059.03;0;0;0;467.6881;489.46887;489.57675
0.124;123002;80605.234;-145964.81;0;0;0;467.6881;489.46887;489.57675
0.1245;122873.01;80744.94;-145775.52;0;0;0;467.6881;489.46887;489.57675
0.125;122853.586;80807.08;-145629.88;0;0;0;467.6881;489.46887;489.57675
0.1255;122932.305;80821.79;-145410.84;0;0;0;467.6881;486.68567;489.57675
0.126;123051.46;80769.055;-145282.06;0;0;0;467.6881;486.68567;489.57675
0.1265;123305.914;80594.766;-145140.5;0;0;0;467.6881;486.68567;489.57675
0.127;123504.42;80422.9;-145090.72;0;0;0;465.1773;486.68567;489.57675
0.1275;123805.15;80106.97;-145090.34;0;0;0;465.1773;486.68567;489.57675
0.128;123982.9;79878.1;-145137.95;0;0;0;465.1773;486.68567;489.57675
0.1285;124179.27;79549.18;-145268.4;0;0;0;465.1773;486.68567;489.57675
0.129;124244.53;79365.016;-145381.97;0;0;0;465.1773;486.68567;489.57675
0.1295;124221.28;79180.38;-145563.48;0;0;0;465.1773;486.68567;489.57675
0.13;124117.43;79134.4;-145673.52;0;0;0;465.1773;486.68567;489.57675
0.1305;123846.7;79192.625;-145791.47;0;0;0;465.1773;486.68567;489.57675
0.131;123596.35;79312.82;-145823.88;0;0;0;465.1773;486.68567;489.57675
0.1315;123173.086;79592.95;-145786.92;0;0;0;465.1773;486.68567;489.57675
0.132;122871.805;79825.21;-145702.73;0;0;0;465.1773;486.68567;489.57675
0.1325;122440.695;80196.31;-145495.48;0;0;0;465.1773;486.68567;489.57675
0.133;122192.61;80430.05;-145314.77;0;0;0;465.1773;486.68567;489.57675
0.1335;121907.97;80713.83;-145007.69;0;0;0;465.1773;486.68567;489.57675
0.134;121786.37;80836.85;-144797.98;0;0;0;465.1773;486.68567;489.57675
0.1345;121708.14;80899.59;-144508.92;0;0;0;465.1773;486.68567;489.57675
0.135;121716.41;80857.12;-144350.34;0;0;0;465.1773;486.68567;489.57675
0.1355;121793.336;80679.05;-144185.11;0;0;0;465.1773;486.68567;489.57675
0.136;121868.04;80500.016;-144129.5;0;0;0;465.1773;486.68567;486.63086
0.1365;121979.23;80179.11;-144126.11;0;0;0;465.1773;486.68567;486.63086
0.137;122029.63;79955.945;-144169.39;0;0;0;465.1773;486.68567;486.63086
0.1375;122048.32;79651.664;-144277.58;0;0;0;465.1773;486.68567;486.63086
0.138;122009.18;79490.25;-144359.66;0;0;0;465.1773;486.68567;486.63086
0.1385;121867.39;79333.625;-144468.17;0;0;0;465.1773;486.68567;486.63086
0.139;121736.22;79291.484;-144516.19;0;0;0;465.1773;486.68567;486.63086
0.1395;121504.91;79315.555;-144532.9;0;0;0;465.1773;486.68567;486.63086
0.14;121341.56;79378.28;-144502.2;0;0;0;465.1773;486.68567;486.63086
0.1405;121143.77;79512.38;-144394.19;0;0;0;465.1773;486.68567;486.63086
0.141;121055.02;79606.28;-144286.95;0;0;0;465.1773;486.68567;486.63086
0.1415;121012.23;79713.82;-144092.39;0;0;0;465.1773;486.68567;486.63086
0.142;121050.72;79743.086;-143955.08;0;0;0;465.1773;486.68567;486.63086
0.1425;121205.33;79700.45;-143766.42;0;0;0;465.1773;483.82996;486.63086
0.143;121362.125;79609.64;-143668.06;0;0;0;465.1773;483.82996;486.63086
0.1435;121647.56;79386.8;-143582.31;0;0;0;465.1773;483.82996;486.63086
0.144;121849.52;79192.34;-143572.83;0;0;0;465.1773;483.82996;486.63086
0.1445;122130.16;78863.09;-143630.53;0;0;0;462.8106;483.82996;486.63086
0.145;122279.64;78641.55;-143711.02;0;0;0;462.8106;483.82996;486.63086
0.1455;122413;78349.51;-143875.5;0;0;0;462.8106;483.82996;486.63086
0.146;122426.32;78205.88;-143998.88;0;0;0;462.8106;483.82996;486.63086
0.1465;122320.36;78099.52;-144173.98;0;0;0;462.8106;483.82996;486.63086
0.147;122163.99;78111.695;-144266.16;0;0;0;462.8106;483.82996;486.63086
