Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement1.Three-phase Meter1.POWER_Q,measurement2.Three-phase Meter2.POWER_Q,measurement3.Three-phase Meter3.POWER_Q,measurement4.Three-phase Meter4.POWER_P,measurement5.Three-phase Meter5.POWER_P,measurement6.Three-phase Meter6.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_Q
0.062,476.69553,457.61093,481.2535,-23.36569,30.904152,-0.6474439,0.3683575,0.38637325,0.058053218,0.017634107,0.013281804,0.3130038
0.0625,476.69553,457.61093,481.2535,-23.300268,30.857294,-0.635202,0.3649863,0.38286066,0.07016678,0.017475225,0.013206251,0.30953598
0.063,476.69553,457.61093,481.2535,-23.249516,30.818575,-0.6255869,0.36294904,0.38075617,0.07825936,0.017443046,0.013224484,0.30720344
0.0635,476.69553,457.61093,481.2535,-23.172106,30.756092,-0.6113739,0.3602429,0.37798297,0.090468675,0.017485643,0.013326325,0.30367163
0.064,476.69553,457.61093,481.2535,-23.12533,30.71581,-0.6034333,0.35868332,0.37639445,0.0986842,0.017554462,0.013421658,0.3012839
0.0645,476.69553,457.61093,481.2535,-23.070877,30.664198,-0.59577763,0.35670874,0.37438506,0.11116327,0.017675102,0.0135642,0.29761222
0.065,476.69553,457.61093,481.2535,-23.048508,30.638773,-0.5942829,0.3556152,0.3732695,0.119599015,0.017745173,0.013635392,0.29506797
0.0655,476.69553,457.61093,481.2535,-23.038883,30.617624,-0.5978555,0.3542638,0.3718667,0.13242242,0.017788216,0.013671545,0.29102826
0.066,476.69553,457.61093,481.2535,-23.04804,30.61526,-0.6037542,0.35350722,0.37106386,0.14106116,0.017765008,0.013635592,0.28813642
0.0665,476.69553,457.61093,481.2535,-23.080639,30.627039,-0.61646277,0.35250777,0.36996973,0.1540829,0.017634613,0.013485476,0.2834206
0.067,476.69553,457.61093,481.2535,-23.11054,30.642353,-0.62638557,0.35188287,0.36926517,0.16275129,0.017485444,0.013327392,0.27998766
0.0675,476.69553,457.61093,481.2535,-23.159014,30.670187,-0.6412668,0.35093087,0.3681779,0.17562693,0.017189214,0.013027837,0.27436402
0.068,476.69553,457.61093,481.2535,-23.187332,30.687963,-0.6499474,0.35025722,0.3674066,0.18406187,0.016965328,0.012806628,0.2702896
0.0685,476.69553,457.61093,481.2535,-23.216106,30.707006,-0.65937304,0.34915134,0.36616185,0.19639519,0.016621312,0.012481472,0.26370114
0.069,476.69553,454.2101,481.2535,-23.222454,30.711586,-0.6626176,0.3483482,0.3652789,0.20436466,0.016409056,0.012291091,0.25901076
0.0695,474.09488,454.2101,481.2535,-23.209042,30.702766,-0.6625717,0.34706783,0.3639084,0.2159042,0.016149739,0.012076275,0.25158107
0.07,474.09488,454.2101,481.2535,-23.184492,30.685627,-0.65945745,0.3461915,0.36299387,0.22332086,0.016031913,0.011992524,0.2464005
0.0705,474.09488,454.2101,481.2535,-23.127352,30.64428,-0.6510159,0.34489757,0.36168176,0.23406638,0.0159481,0.011964385,0.23834433
0.071,474.09488,454.2101,481.2535,-23.079548,30.608498,-0.64357585,0.34409449,0.36088327,0.24101137,0.015958067,0.012007847,0.23280966
0.0715,474.09488,454.2101,481.2535,-23.00272,30.548367,-0.6312102,0.3430415,0.35985556,0.25117007,0.016058771,0.012147886,0.22428566
0.072,474.09488,454.2101,481.2535,-22.95423,30.508121,-0.62331957,0.34246975,0.35930687,0.25780737,0.016167205,0.012273169,0.2184533
0.0725,474.09488,454.2101,481.2535,-22.894733,30.45405,-0.6142908,0.34183013,0.35870486,0.26760444,0.01635841,0.012471559,0.20945606
0.073,474.09488,454.2101,481.2535,-22.867641,30.425262,-0.61137223,0.34155232,0.35844535,0.2740407,0.01648099,0.012587799,0.20326915
0.0735,474.09488,454.2101,477.93497,-22.849712,30.397018,-0.6129533,0.341326,0.35823348,0.28353548,0.016620085,0.012700653,0.19365157
0.074,474.09488,454.2101,477.93497,-22.853554,30.389317,-0.61797845,0.3412729,0.3581769,0.28972793,0.016663361,0.012718512,0.18698539
0.0745,474.09488,454.2101,477.93497,-22.88124,30.394257,-0.6302261,0.34127447,0.3581476,0.29873243,0.01663535,0.012644609,0.17656723
0.075,474.09488,454.2101,477.93497,-22.911589,30.40722,-0.6404206,0.34128925,0.3581214,0.30448914,0.016545227,0.012528447,0.16933237
0.0755,474.09488,454.2101,477.93497,-22.96718,30.43645,-0.65670866,0.34125906,0.35800317,0.3126494,0.016318215,0.012270205,0.15805578
0.076,474.09488,454.2101,477.93497,-23.005278,30.458782,-0.6671557,0.34117,0.35784155,0.31771725,0.016119868,0.012059849,0.15027717
0.0765,474.09488,454.2101,477.93497,-23.054106,30.489738,-0.680764,0.34089348,0.35744756,0.32468688,0.015786612,0.011725208,0.1382771
0.077,474.09488,454.2101,477.93497,-23.076288,30.504997,-0.6877577,0.34060484,0.3570837,0.32888532,0.015564043,0.011512611,0.1300997
0.0775,474.09488,454.2101,477.93497,-23.088642,30.514809,-0.6941242,0.34002873,0.35641143,0.33450308,0.015269431,0.011245665,0.11764836
0.078,474.09488,454.2101,477.93497,-23.081493,30.510817,-0.69526196,0.33956948,0.3559064,0.33781302,0.0151195,0.011118754,0.109266795
0.0785,474.09488,454.2101,477.93497,-23.049072,30.488384,-0.69229335,0.33882794,0.3551255,0.34218648,0.014986763,0.011021074,0.09663273
0.079,474.09488,454.2101,477.93497,-23.015678,30.463652,-0.687607,0.33833927,0.3546291,0.34475523,0.014964589,0.01101924,0.08818932
0.0795,474.09488,454.2101,477.93497,-22.95525,30.416471,-0.678072,0.33768484,0.353987,0.34817138,0.015023793,0.011100552,0.07550254
0.08,474.09488,454.2101,477.93497,-22.913376,30.38208,-0.67138016,0.3373362,0.35365915,0.35019895,0.01511292,0.011197196,0.06702246
0.0805,474.09488,454.2101,477.93497,-22.857718,30.333324,-0.6633948,0.33698738,0.35335177,0.3529126,0.015289989,0.011372075,0.05424002
0.081,474.09488,454.2101,477.93497,-22.830427,30.306679,-0.66073424,0.33687973,0.35327482,0.3545117,0.015416154,0.011485496,0.045653984
0.0815,474.09488,454.2101,477.93497,-22.810625,30.280836,-0.6622112,0.33690736,0.35333303,0.35657644,0.015575171,0.011611581,0.03264128
0.082,474.09488,454.2101,477.93497,-22.81395,30.275036,-0.6671536,0.3370297,0.3534622,0.35770065,0.015637964,0.011646068,0.02386111
0.0825,474.09488,454.2101,477.93497,-22.8432,30.284752,-0.6800527,0.33731687,0.35372904,0.3589285,0.01564358,0.011598486,0.010523371
0.083,474.09488,454.2101,477.93497,-22.877222,30.302727,-0.69162685,0.33753508,0.3539128,0.35938525,0.015577433,0.011494881,0.00152915
0.0835,474.09488,454.2101,477.93497,-22.942638,30.342781,-0.71174407,0.3378293,0.35412392,0.35943666,0.015374842,0.011239107,-0.012071394
0.084,474.09488,454.2101,477.93497,-22.99047,30.374657,-0.7257379,0.33796474,0.3541857,0.35900614,0.015184376,0.011015003,-0.021172129
0.0845,474.09488,454.2101,477.93497,-23.05941,30.423338,-0.7453135,0.33802405,0.3541181,0.35761848,0.014838966,0.010631641,-0.03479191
