Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
22.0, 0.4329274296760559, 2.5066893100738525, 0.0, 60.017459869384766, 59.99516677856445, 60.01090621948242, -0.0037263615522533655, -0.004157348535954952, -0.0032047340646386147, 22.055200576782227
22.25, -1.8509101867675781, 4.267301082611084, 0.0, 60.01893997192383, 59.99378967285156, 60.01090621948242, -0.0008123748702928424, -0.0018167677335441113, -0.0003245670523028821, 22.30299949645996
22.5, -1.5144439935684204, 4.0531206130981445, 0.0, 60.020172119140625, 59.99271774291992, 60.01058578491211, 0.0001599360693944618, -0.0007019894546829164, 0.00038404358201660216, 22.55660057067871
22.75, -8.17604923248291, 11.915282249450684, 0.0, 60.022953033447266, 59.9897575378418, 60.01058578491211, 0.015477491542696953, 0.012048885226249695, 0.016710912808775902, 22.80579948425293
23.0, -1.6500235795974731, 4.4232940673828125, 0.0, 60.023536682128906, 59.989105224609375, 60.01058578491211, 0.006596350111067295, 0.006488651968538761, 0.0060917590744793415, 23.05419921875
23.25, 3.602322578430176, -0.6654046773910522, 0.0, 60.02180862426758, 59.990909576416016, 60.01058578491211, 0.0025243815034627914, 0.0031185457482934, 0.001764465938322246, 23.305599212646484
23.5, 7.385384559631348, -4.233285427093506, -0.0, 60.01914978027344, 59.9935417175293, 60.01058578491211, 0.001267175073735416, 0.001841844990849495, 0.0006231481675058603, 23.56279945373535
23.75, 10.245097160339355, -6.741872310638428, 0.0, 60.01649475097656, 59.99603271484375, 60.10974884033203, 0.0008396606426686049, 0.0013092383742332458, 0.0002997918054461479, 23.803600311279297
24.0, 12.747071266174316, -8.580869674682617, 0.0, 60.01386642456055, 59.998390197753906, 60.097923278808594, 0.0006624144152738154, 0.0009941868484020233, 0.00025787032791413367, 24.054800033569336
24.25, 14.609564781188965, -10.117379188537598, 0.0, 60.01152420043945, 60.00039291381836, 60.08755874633789, 0.000602175947278738, 0.0008834137115627527, 0.0002823209797497839, 24.303800582885742
24.5, 16.350915908813477, -11.155959129333496, 0.0, 60.00947952270508, 60.002079010009766, 60.07833480834961, 0.0004216567613184452, 0.0006032918463461101, 0.00019439216703176498, 24.55660057067871
24.75, 17.23052215576172, -12.079535484313965, 0.0, 60.00782012939453, 60.0034065246582, 60.01058578491211, 0.0005746883107349277, 0.0007854960858821869, 0.0003723209665622562, 24.803600311279297
25.0, 28.23299217224121, -20.475975036621094, 0.0, 60.000770568847656, 60.0087776184082, 60.05581283569336, -0.007864939980208874, -0.0061913710087537766, -0.008270223625004292, 25.055200576782227
25.25, 21.744531631469727, -16.10605812072754, 0.0, 59.999847412109375, 60.00968933105469, 60.01058578491211, -0.002609032904729247, -0.0030598146840929985, -0.0021106365602463484, 25.303600311279297
